02_19_23 Location[fused 24.791932,121.009442 acc=23 et=+4m50s835ms] 23586
02_20_47 Location[fused 24.791932,121.009442 acc=23 et=+6m14s464ms] 23548
02_22_11 Location[fused 24.791958,121.009420 acc=22 et=+7m38s99ms] 23562
02_23_34 Location[fused 24.791958,121.009420 acc=22 et=+9m1s748ms] 23580
02_24_58 Location[fused 24.791932,121.009442 acc=23 et=+10m25s370ms] 23550
02_26_21 Location[fused 24.791932,121.009442 acc=22 et=+11m48s938ms] 23543
02_27_45 Location[fused 24.791932,121.009442 acc=23 et=+13m12s454ms] 23455
02_29_09 Location[fused 24.791932,121.009442 acc=23 et=+14m36s67ms] 23568
02_30_32 Location[fused 24.791958,121.009420 acc=22 et=+15m59s695ms] 23564
02_31_56 Location[fused 24.791958,121.009420 acc=22 et=+17m23s282ms] 23533
02_33_19 Location[fused 24.791932,121.009442 acc=23 et=+18m46s901ms] 23541
02_34_42 Location[fused 24.792875,121.010067 acc=6 et=+20m9s744ms alt=-14.2 vel=0.0] 22803
02_36_06 Location[fused 24.791932,121.009442 acc=23 et=+21m33s306ms] 23466
02_37_31 Location[fused 24.791958,121.009420 acc=22 et=+22m58s344ms] 24954
02_38_54 Location[fused 24.791932,121.009442 acc=23 et=+24m21s979ms] 23557
02_40_18 Location[fused 24.791958,121.009420 acc=22 et=+25m45s626ms] 23585
02_41_42 Location[fused 24.791932,121.009442 acc=23 et=+27m9s193ms] 23507
02_43_05 Location[fused 24.791958,121.009420 acc=22 et=+28m32s802ms] 23546
02_44_29 Location[fused 24.791932,121.009442 acc=23 et=+29m56s365ms] 23519
02_45_52 Location[fused 24.791932,121.009442 acc=23 et=+31m19s900ms] 23479
02_47_16 Location[fused 24.791932,121.009442 acc=23 et=+32m43s515ms] 23538
02_48_40 Location[fused 24.791958,121.009420 acc=22 et=+34m7s141ms] 23551
02_50_03 Location[fused 24.791932,121.009442 acc=23 et=+35m30s324ms] 23228
02_51_23 Location[fused 24.792467,121.008140 acc=6 et=+36m50s735ms alt=213.3 vel=5.678416 bear=152.0] 20262
02_52_46 Location[fused 24.792015,121.008317 acc=6 et=+38m13s745ms alt=211.4 vel=0.0] 22972
02_54_10 Location[fused 24.791932,121.009442 acc=23 et=+39m37s421ms] 23577
02_55_30 Location[fused 24.791685,121.008325 acc=5 et=+40m57s740ms alt=240.0 vel=0.0] 20285
02_56_51 Location[fused 24.791747,121.008420 acc=5 et=+42m18s742ms alt=240.0 vel=0.0] 20984
02_58_15 Location[fused 24.791932,121.009442 acc=23 et=+43m42s338ms] 23508
02_59_35 Location[fused 24.792342,121.008077 acc=6 et=+45m2s740ms alt=243.9 vel=0.0] 20351
03_00_56 Location[fused 24.792143,121.008063 acc=6 et=+46m23s740ms alt=252.2 vel=0.0] 20936
03_02_17 Location[fused 24.792542,121.007815 acc=6 et=+47m44s748ms alt=250.9 vel=0.011323889 bear=327.0] 20957
03_03_38 Location[fused 24.792037,121.008343 acc=6 et=+49m5s739ms alt=208.0 vel=0.0] 20926
03_04_59 Location[fused 24.792423,121.008073 acc=6 et=+50m26s740ms alt=224.2 vel=0.0] 20966
03_06_20 Location[fused 24.792063,121.008272 acc=6 et=+51m47s738ms alt=225.9 vel=0.051986944 bear=321.0] 20925
03_07_44 Location[fused 24.791932,121.009442 acc=22 et=+53m11s388ms] 23570
