lat,lon,bear,heading,magx_kalman,magy_kalman,magz_kalman,magx_lowess,magy_lowess,magz_lowess,mag,mag_kalman,mag_lowess,timestamp,intersection_points,25_dbm,33_dbm,181_dbm,208_dbm,200_dbm,label
24.7891652,120.9950848,325.1625671386719,-48.638459999999995,51.2275948811603,34.08241435501523,-9.3015318233796,70.51386372316419,67.47187098108854,-6.305978949167079,96.1154304232156,62.228578160171494,97.79787176296307,15,0,-85.0,-85.0,0.0,0.0,0.0,0
24.7891652,120.9950848,325.1625671386719,-51.137836,55.49824431813442,40.28898970557177,-8.509961641912927,70.00091951961434,66.87265430751313,-6.51157143314304,96.94897214514448,69.10627512055498,97.02824944444068,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7891792,120.9950841,0.9287883639335632,-52.957073,57.473979256062584,45.27732111745207,-7.3056291808557585,69.48833898722896,66.27346054675853,-6.716688969959129,90.93486446110755,73.53003683412211,96.25962153865956,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7891792,120.9950841,0.9287883639335632,-38.921620000000004,58.16136433946936,49.387358304247584,-5.683571185977367,68.97612850710159,65.67429433694937,-6.921320324693762,78.00659972079286,76.51247247035417,95.49200969464133,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7891792,120.9950841,0.9287883639335632,-44.96841,59.766375697876754,52.6308852755051,-4.8425596136922415,68.46429466665994,65.07516112373604,-7.125453785836711,83.31405508307469,79.78395911807897,94.72543655817871,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7891792,120.9950841,0.9287883639335632,-44.609085,61.71380495571791,55.19196402806851,-4.347383231542966,67.95284517367054,64.47606692479842,-7.329077982137451,102.66660995648391,82.90745657870528,93.95992633754123,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7892006,120.995085,9.7222900390625,-50.987274,62.10229936299691,56.75808772968454,-4.229274693089459,67.44178864159875,63.87701810617912,-7.532181902169999,98.92238403819442,84.2381319435056,93.19550451348279,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7892006,120.995085,9.7222900390625,-32.728190000000005,61.31924812082975,57.59834616582951,-4.196748111318476,66.93113344285428,63.278020995206674,-7.734754856541325,79.9588644241525,84.23320227708588,92.43219675906103,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.789219,120.99508590000002,8.873787879943848,-44.2364,61.555324915782165,58.146303704788046,-4.585216602634085,66.42088782676515,62.679081905193,-7.936786384209117,85.24127167514573,84.80020560889008,91.67002905138723,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.789219,120.99508590000002,8.873787879943848,-40.40741,62.02284097516497,58.46855943407814,-4.915452615785458,65.91106096998985,62.080207367308226,-8.13826635473378,96.82927449898611,85.37896063635912,90.90902861772476,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.789219,120.99508590000002,8.873787879943848,-45.958420000000004,61.689115911636634,58.128604825758366,-5.33329024572714,65.40166276898644,61.481404085934294,-8.339184747600074,88.26117932257654,84.92894504109708,90.14922375473219,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7892348,120.99508689999999,10.427201271057127,-39.9353,61.215948810643276,57.53328394964932,-5.639512396996945,64.89270320394681,60.88267866037174,-8.539531632636427,77.37406542246569,84.19783400357848,89.39064319313522,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7892348,120.99508689999999,10.427201271057127,-50.505043,62.00772933329064,56.76307547563394,-6.843737767822001,64.38419269476533,60.28403776564821,-8.739297203520515,81.67201227152421,84.34359478441657,88.63331650061524,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7892348,120.99508689999999,10.427201271057127,-40.45108,62.93659686420856,56.252292506521144,-7.687183584680319,63.87614266691329,59.68548833898172,-8.938472123946163,93.66084560797003,84.76100771316786,87.87727467427028,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7892348,120.99508689999999,10.427201271057127,-49.27518,62.8642227854392,55.61681005016629,-8.244180881973946,63.368565020361146,59.087037813762215,-9.137046911006884,85.42512497971543,84.33923514585793,87.12254987429284,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7892348,120.99508689999999,10.427201271057127,-40.179157000000004,62.66208045332415,55.00463923100913,-8.58084817084615,62.86147142032585,58.48869397408839,-9.3350117677258,73.56467358725926,83.81931530979868,86.36917480575224,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7892509,120.99508700000001,2.7304847240448,-50.125409999999995,63.84756985833711,54.4101117101524,-9.361972240066258,62.35487371508897,57.89046499073013,-9.53235671098272,82.08030701696967,84.40745794863314,85.61718307286839,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7892509,120.99508700000001,2.7304847240448,-48.950497,65.11927154152023,54.09755369012405,-9.814584039445695,61.848784581335906,57.292359481971936,-9.72907185052395,94.31121698292321,85.22552963297701,84.86660973712011,15,0,0.0,-85.0,0.0,0.0,0.0,0
24.7892509,120.99508700000001,2.7304847240448,-41.855545,65.37372946098947,53.64185965713291,-10.163395282323254,61.34321686267943,56.694386601987844,-9.925147038478581,80.9311017955397,85.17316604881455,84.11749087420996,15,0,-85.0,0.0,0.0,0.0,0.0,0
24.7892509,120.99508700000001,2.7304847240448,-48.391735,66.1381692932719,53.261710651507286,-10.412171818311833,60.83818299539306,56.09655584445139,-10.120571871682191,81.03334628780925,85.55396297638366,83.36986303695402,15,0,-85.0,0.0,0.0,0.0,0.0,0
