lat,lon,bear,heading,magx_kalman,magy_kalman,magz_kalman,magx_lowess,magy_lowess,magz_lowess,mag,mag_kalman,mag_lowess,timestamp,intersection_points,25_dbm,33_dbm,181_dbm,189_dbm,208_dbm,200_dbm,label
24.7891794,120.9950528,180.0,-23.121745999999998,5.660077202537096,14.174703802843426,-20.47171226501693,28.621001162114613,23.96637339582852,-32.02608801520068,37.98473899107377,25.535263948090858,49.18555758378086,8,0,-80.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891794,120.9950528,180.0,-21.926752,7.526232067768173,17.438993016983495,-21.67203488856725,28.73633155954057,23.637358851863702,-31.633542949041374,38.592874990080745,28.817351418816706,48.83833048436926,8,0,-80.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891794,120.9950528,180.0,-26.126791,9.260822393903439,20.44663857389498,-22.015793556799693,28.85055891322107,23.308250210452126,-31.240983562445084,40.47247889961771,31.44078603213565,48.493590622135265,8,0,-80.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891794,120.9950528,180.0,-21.674654,10.633046421265064,22.78746624618079,-22.024507504975926,28.963670453359956,22.979047443691947,-30.848412587216764,42.334921754976705,33.427671545507735,48.15137990443717,8,0,-80.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891794,120.9950528,180.0,-9.153737,11.50294743161092,23.972703863350326,-22.650677223612938,29.07565524239633,22.649749789615395,-30.455833882487358,40.90121222653433,34.9293788782823,47.81174239435891,8,0,-80.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891794,120.9950528,180.0,-9.793873,12.73555127631748,24.172687318661,-23.57759349092347,29.186504077561306,22.320354983152193,-30.06325336474232,40.855109839529256,36.08900100225418,47.47472453544223,8,0,-80.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891794,120.9950528,180.0,-16.767311,14.27484975748844,23.55556361473376,-24.703015193191458,29.296209676733454,21.990859140231553,-29.670678889492216,40.9638328284842,36.99830904841037,47.140375188494154,8,0,-80.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891794,120.9950528,180.0,-26.66817,15.738700944895612,22.712701814689975,-25.570718581117003,29.404766723815356,21.661256935219214,-29.27811980051903,41.83398618348483,37.648840352799205,46.80874551992529,8,0,-80.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891794,120.9950528,180.0,-39.402347999999996,16.60967761653078,21.643853873579502,-26.51779635643385,29.512171619754536,21.331542163784835,-28.885586250678696,42.12747737474914,38.04643642481175,46.479888746043414,8,0,-80.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891794,120.9950528,180.0,7.5601034,16.72985761776472,20.157569106848094,-27.93009393136411,29.618421879997555,21.001707895129915,-28.49308939334616,40.12367380985943,38.292373590871314,46.15385999405787,8,0,0.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891853,120.99505400000001,314.1845703125,5.514204,17.3365511262733,18.769882518914063,-28.858685119479528,29.723515993574356,20.671746530941494,-28.10064143304049,41.08756016119721,38.54462610472429,45.83071630040354,8,0,0.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891853,120.99505400000001,314.1845703125,-55.0235,18.36072440213874,17.20970358915512,-29.41587808959889,29.827454257817045,20.341650493793217,-27.70825435418778,41.65681183672126,38.71154843170208,45.510516715042606,8,0,0.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891853,120.99505400000001,314.1845703125,-49.573624,18.876118411734552,15.945058935691055,-29.828033218258465,29.930238813931084,20.011412364912573,-27.315939620152925,41.071785186913914,38.73324562215276,45.19332226811128,8,0,0.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891992,120.9950537,357.01300048828125,36.103493,18.96623658803277,14.897538892373618,-30.157219027624542,30.031872949087195,19.681025521935002,-26.923708338227364,40.046977045465006,38.61492787566924,44.8791959498731,8,0,0.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891992,120.9950537,357.01300048828125,7.7833440000000005,19.431849234996374,13.903543694059481,-30.118365071777035,30.132361134583835,19.35048429613914,-26.531571193008233,39.92128717413807,38.44504137780436,44.5682027908886,8,0,0.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891992,120.9950537,357.01300048828125,-51.961746000000005,20.277028233104954,13.240952049619116,-29.608727415861292,30.231709660731163,19.019783951660326,-26.139538016203428,41.12053501597469,38.251240820831214,44.260410055478765,8,0,0.0,-90.0,0.0,0.0,0.0,0.0,0
24.7891992,120.9950537,357.01300048828125,-59.287532999999996,20.8809106017218,12.836732790122577,-28.84535552997993,30.32992667117287,18.688920960421274,-25.74761760630912,40.27890714813401,37.852987622287486,43.95588732973453,8,0,0.0,-90.0,0.0,0.0,0.0,0.0,0
24.7892102,120.99505390000002,358.83282470703125,65.18184000000001,21.80624946619811,12.91067334731132,-27.489791112254032,30.427021781684473,18.357893089954445,-25.355817841818414,39.23944947748375,37.38832193958965,43.65470640873416,8,0,0.0,-90.0,0.0,0.0,0.0,0.0,0
24.7892102,120.99505390000002,358.83282470703125,-42.813038,24.153338442985497,12.876329201674903,-25.3820541159434,30.523006403321837,18.02669941438624,-24.96414541372962,42.15007473302983,37.32870588161323,43.356941404020844,8,0,0.0,-90.0,0.0,0.0,0.0,0.0,0
24.789224800000003,120.9950545,359.3805847167969,-86.4891,26.342716013245727,12.50190304028542,-22.98688207699249,30.617893766250294,17.695339779013487,-24.572605826424027,44.035421644853145,37.12994767306802,43.06266858517867,8,0,0.0,-90.0,0.0,0.0,0.0,0.0,0
