lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 25_asuLevel, 25_cqi, 25_dbm, 25_level, 25_rsrp, 25_rsrq, 25_rssnr, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, timestamp, label
24.7892837,120.9950201,7.616000175476074,0.0,10.0,7.5,37.68,-37.14,8.3771305,25_65,25_8,25_-75,25_3,25_-75,25_-7,25_15,33_60,33_0,33_-80,33_2,33_-80,33_-12,33_0,9,ROAD
24.7892837,120.9950201,7.616000175476074,0.0,10.0,-4.2599998,40.62,-33.719997,3.2190247,25_65,25_8,25_-75,25_3,25_-75,25_-7,25_15,33_60,33_0,33_-80,33_2,33_-80,33_-12,33_0,9,ROAD
24.7892837,120.9950201,7.616000175476074,0.0,10.0,2.34,40.8,-34.739998,-0.0013296813,25_65,25_8,25_-75,25_3,25_-75,25_-7,25_15,33_60,33_0,33_-80,33_2,33_-80,33_-12,33_0,9,ROAD
24.7892837,120.9950201,7.616000175476074,0.0,10.0,1.74,39.54,-33.3,0.7275785,25_65,25_8,25_-75,25_3,25_-75,25_-7,25_15,33_60,33_0,33_-80,33_2,33_-80,33_-12,33_0,9,ROAD
24.7892838,120.9950201,7.616000175476074,0.0,10.0,4.92,41.579998,-23.279999,-5.9919734,25_65,25_8,25_-75,25_3,25_-75,25_-7,25_15,33_60,33_0,33_-80,33_2,33_-80,33_-12,33_0,9,ROAD
24.7892838,120.9950201,7.616000175476074,0.0,10.0,4.68,42.059998,-22.38,1.1073086,25_65,25_8,25_-75,25_3,25_-75,25_-7,25_15,33_60,33_0,33_-80,33_2,33_-80,33_-12,33_0,9,ROAD
24.7892838,120.9950201,7.616000175476074,0.0,10.0,4.62,31.56,-35.88,-17.582342,25_65,25_8,25_-75,25_3,25_-75,25_-7,25_15,33_60,33_0,33_-80,33_2,33_-80,33_-12,33_0,9,ROAD
24.7892838,120.9950201,7.616000175476074,0.0,10.0,-4.2,38.76,-27.48,-37.189022,25_65,25_8,25_-75,25_3,25_-75,25_-7,25_15,33_60,33_0,33_-80,33_2,33_-80,33_-12,33_0,9,ROAD
24.7892838,120.9950201,9.70199966430664,0.0,-1.0,-31.56,36.6,-15.36,42.473846,25_65,25_8,25_-75,25_3,25_-75,25_-7,25_15,33_60,33_0,33_-80,33_2,33_-80,33_-12,33_0,9,ROAD
24.789279,120.9950115,9.70199966430664,176.2315216064453,10.0,-40.02,31.859999,-6.96,44.893124,25_61,25_12,25_-79,25_3,25_-79,25_-9,25_19,33_52,33_0,33_-88,33_2,33_-88,33_-15,33_0,9,ROAD
24.789279,120.9950115,9.70199966430664,176.2315216064453,10.0,-34.86,14.46,-33.78,-80.884254,25_61,25_12,25_-79,25_3,25_-79,25_-9,25_19,33_52,33_0,33_-88,33_2,33_-88,33_-15,33_0,9,ROAD
24.789279,120.9950115,9.70199966430664,176.2315216064453,10.0,-28.14,24.0,-34.2,-38.385235,25_61,25_12,25_-79,25_3,25_-79,25_-9,25_19,33_52,33_0,33_-88,33_2,33_-88,33_-15,33_0,9,ROAD
24.789279,120.9950115,9.70199966430664,176.2315216064453,10.0,-40.2,22.859999,-16.74,70.88144,25_61,25_12,25_-79,25_3,25_-79,25_-9,25_19,33_52,33_0,33_-88,33_2,33_-88,33_-15,33_0,9,ROAD
24.789279,120.9950115,9.70199966430664,176.2315216064453,10.0,-41.28,18.9,-20.46,52.326416,25_61,25_12,25_-79,25_3,25_-79,25_-9,25_19,33_52,33_0,33_-88,33_2,33_-88,33_-15,33_0,9,ROAD
24.789283,120.9950055,7.76800012588501,30.029159545898438,10.0,-20.58,12.059999,-39.719997,-79.096436,25_61,25_12,25_-79,25_3,25_-79,25_-9,25_19,33_52,33_0,33_-88,33_2,33_-88,33_-15,33_0,9,ROAD
24.789283,120.9950055,7.76800012588501,30.029159545898438,10.0,-16.859999,19.98,-37.14,-29.354885,25_61,25_12,25_-79,25_3,25_-79,25_-9,25_19,33_52,33_0,33_-88,33_2,33_-88,33_-15,33_0,9,ROAD
24.789283,120.9950055,7.76800012588501,30.029159545898438,10.0,-33.6,22.38,-22.74,66.10293,25_61,25_12,25_-79,25_3,25_-79,25_-9,25_19,33_52,33_0,33_-88,33_2,33_-88,33_-15,33_0,9,ROAD
24.789283,120.9950055,7.76800012588501,30.029159545898438,10.0,-29.64,19.619999,-29.82,11.821863,25_61,25_12,25_-79,25_3,25_-79,25_-9,25_19,33_52,33_0,33_-88,33_2,33_-88,33_-15,33_0,9,ROAD
24.789283,120.9950055,7.76800012588501,30.029159545898438,10.0,-4.62,28.56,-36.78,-46.545815,25_61,25_12,25_-79,25_3,25_-79,25_-9,25_19,33_52,33_0,33_-88,33_2,33_-88,33_-15,33_0,9,ROAD
