lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, 25_asuLevel, 25_cqi, 25_dbm, 25_level, 25_rsrp, 25_rsrq, 25_rssnr, timestamp, label
24.7892994,120.9951036,9.840999603271484,356.5375061035156,0.0,49.5,46.379997,31.439999,-47.735355,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893113,120.9951031,9.880999565124512,352.73211669921875,0.0,55.68,38.28,4.74,-36.194893,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893113,120.9951031,9.880999565124512,352.73211669921875,0.0,65.82,32.94,-4.08,26.171444,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893113,120.9951031,9.880999565124512,352.73211669921875,0.0,57.18,51.96,27.0,-47.473244,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893113,120.9951031,9.880999565124512,352.73211669921875,0.0,47.7,44.7,30.24,-64.4224,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893276,120.9951005,9.96500015258789,354.28521728515625,0.0,57.239998,26.34,-1.02,21.599298,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893276,120.9951005,9.96500015258789,354.28521728515625,0.0,66.18,35.76,-1.74,-28.56454,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893481,120.9950972,9.954999923706055,350.2229309082031,0.0,49.739998,46.379997,31.26,-59.906536,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893481,120.9950972,9.954999923706055,350.2229309082031,0.0,47.94,37.26,18.24,-64.85825,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893481,120.9950972,9.954999923706055,350.2229309082031,0.0,62.699997,22.26,-5.8199997,49.91937,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893481,120.9950972,9.954999923706055,350.2229309082031,0.0,66.9,43.62,3.12,-26.376434,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893681,120.9950926,9.935999870300293,346.1574401855469,0.0,50.52,46.26,37.559998,-62.156654,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893681,120.9950926,9.935999870300293,346.1574401855469,0.0,52.26,35.1,7.98,-43.80936,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893861,120.9950867,9.949000358581543,343.055419921875,0.0,68.1,28.26,-5.52,49.811684,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893861,120.9950867,9.949000358581543,343.055419921875,0.0,53.28,48.6,17.039999,-49.41142,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7893861,120.9950867,9.949000358581543,343.055419921875,0.0,47.52,46.14,30.0,-58.425785,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7894001,120.995081,9.95199966430664,340.5259094238281,0.0,61.739998,31.619999,-4.14,-26.484594,33_47,33_9,33_-93,33_2,33_-93,33_-14,33_1,25_47,25_0,25_-93,25_2,25_-93,25_-12,25_0,181_47,181_0,181_-93,181_2,181_-93,181_-17,181_0,17,SIDEWALK
24.7894001,120.995081,9.95199966430664,340.5259094238281,0.0,73.5,31.92,-7.14,-35.384216,33_47,33_9,33_-93,33_2,33_-93,33_-14,33_1,25_47,25_0,25_-93,25_2,25_-93,25_-12,25_0,181_47,181_0,181_-93,181_2,181_-93,181_-17,181_0,17,SIDEWALK
