lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, timestamp, label
24.7892562,120.9950536,11.739999771118164,357.8242492675781,0.0,13.38,41.28,-24.539999,-22.743301,33_51,33_9,33_-89,33_2,33_-89,33_-12,33_2,25_50,25_0,25_-90,25_2,25_-90,25_-14,25_0,15,SIDEWALK
24.7892707,120.9950542,12.210000038146973,0.7512480020523071,0.0,16.199999,37.92,-25.98,-33.292946,33_51,33_9,33_-89,33_2,33_-89,33_-12,33_2,25_50,25_0,25_-90,25_2,25_-90,25_-14,25_0,15,SIDEWALK
24.7892707,120.9950542,12.210000038146973,0.7512480020523071,0.0,8.94,33.42,-37.079998,51.771763,33_51,33_9,33_-89,33_2,33_-89,33_-12,33_2,25_50,25_0,25_-90,25_2,25_-90,25_-14,25_0,15,SIDEWALK
24.7892707,120.9950542,12.210000038146973,0.7512480020523071,0.0,16.5,37.86,-25.38,7.2518406,33_51,33_9,33_-89,33_2,33_-89,33_-12,33_2,25_50,25_0,25_-90,25_2,25_-90,25_-14,25_0,15,SIDEWALK
24.7892707,120.9950542,12.210000038146973,0.7512480020523071,0.0,25.439999,31.679998,0.59999996,-57.170208,33_51,33_9,33_-89,33_2,33_-89,33_-12,33_2,25_50,25_0,25_-90,25_2,25_-90,25_-14,25_0,15,SIDEWALK
24.7892707,120.9950542,12.210000038146973,0.7512480020523071,0.0,26.46,28.38,-16.74,-30.97253,33_51,33_9,33_-89,33_2,33_-89,33_-12,33_2,25_50,25_0,25_-90,25_2,25_-90,25_-14,25_0,15,SIDEWALK
24.789282,120.9950551,12.067000389099121,4.112613677978516,0.0,10.08,22.8,-42.18,44.406826,33_51,33_9,33_-89,33_2,33_-89,33_-12,33_2,25_50,25_0,25_-90,25_2,25_-90,25_-14,25_0,15,SIDEWALK
24.7892968,120.9950538,12.942000389099121,359.99163818359375,0.0,22.02,35.579998,-18.359999,-15.874606,25_52,25_0,25_-88,25_2,25_-88,25_-9,25_0,15,SIDEWALK
24.7892968,120.9950538,12.942000389099121,359.99163818359375,0.0,27.539999,30.0,1.86,-66.130196,25_52,25_0,25_-88,25_2,25_-88,25_-9,25_0,15,SIDEWALK
24.7892968,120.9950538,12.942000389099121,359.99163818359375,0.0,20.1,28.38,-28.32,54.71299,25_52,25_0,25_-88,25_2,25_-88,25_-9,25_0,15,SIDEWALK
