lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, 25_asuLevel, 25_cqi, 25_dbm, 25_level, 25_rsrp, 25_rsrq, 25_rssnr, timestamp, label
24.7894691,120.9950087,10.119999885559082,334.1695556640625,0.0,21.0,11.28,-35.1,92.31978,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894691,120.9950087,10.119999885559082,334.1695556640625,0.0,32.34,13.62,-26.039999,-14.287173,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894785,120.995004,9.928999900817871,333.0110778808594,0.0,43.68,12.48,-7.5,-103.70479,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.789487,120.9950004,9.871999740600586,334.87677001953125,0.0,27.3,8.7,-32.52,-17.399948,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.789487,120.9950004,9.871999740600586,334.87677001953125,0.0,15.839999,9.599999,-38.7,83.2685,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7894966,120.9949964,9.77400016784668,335.4583740234375,0.0,36.059998,15.66,-20.82,-40.016483,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7894966,120.9949964,9.77400016784668,335.4583740234375,0.0,42.6,13.2,-8.639999,-73.66076,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7894966,120.9949964,9.77400016784668,335.4583740234375,0.0,29.58,12.059999,-28.859999,103.341385,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7894966,120.9949964,9.77400016784668,335.4583740234375,0.0,25.98,14.94,-30.72,-31.516907,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7894966,120.9949964,9.77400016784668,335.4583740234375,0.0,41.1,18.3,-5.52,-106.96672,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7895084,120.9949921,9.789999961853027,334.57080078125,0.0,38.82,15.48,-14.5199995,-59.3464,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7895084,120.9949921,9.789999961853027,334.57080078125,0.0,25.5,9.0,-32.28,105.195076,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7895179,120.9949872,9.772000312805176,332.3225402832031,0.0,35.64,12.12,-21.359999,-53.468178,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7895179,120.9949872,9.772000312805176,332.3225402832031,0.0,44.879997,10.0199995,-3.54,-101.12823,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7895281,120.994982,9.847000122070312,331.270263671875,0.0,35.28,12.0,-20.279999,-66.963425,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7895281,120.994982,9.847000122070312,331.270263671875,0.0,28.68,16.32,-25.5,115.09962,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7895281,120.994982,9.847000122070312,331.270263671875,0.0,38.76,17.279999,-10.44,-57.007404,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7895281,120.994982,9.847000122070312,331.270263671875,0.0,42.48,15.179999,0.65999997,-84.13074,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7895377,120.994976,9.892999649047852,329.3351745605469,0.0,34.26,18.119999,-18.84,-114.74719,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7895377,120.994976,9.892999649047852,329.3351745605469,0.0,30.42,20.279999,-22.02,100.57265,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.789546,120.9949691,9.866000175476074,324.88623046875,0.0,42.42,17.76,-5.58,-70.70748,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.789546,120.9949691,9.866000175476074,324.88623046875,0.0,43.02,14.7,-7.02,-75.54618,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.789546,120.9949691,9.866000175476074,324.88623046875,0.0,29.82,15.42,-27.06,102.58783,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.789546,120.9949691,9.866000175476074,324.88623046875,0.0,31.619999,18.119999,-21.9,-38.62241,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
24.7895532,120.9949636,9.916999816894531,325.3279724121094,0.0,44.879997,14.04,-0.71999997,-102.825554,25_54,25_2147483647,25_-86,25_2,25_-86,25_-11,25_1,16,SIDEWALK
