21_52_33 Location[fused 24.792070,121.009431 acc=17 et=+3m20s576ms] 11029
21_54_36 Location[fused 24.792070,121.009431 acc=34 et=+5m23s388ms] 13710
21_56_35 Location[fused 24.791392,121.010083 acc=6 et=+7m22s573ms alt=-14.1 vel=0.0] 12868
21_58_36 Location[fused 24.792070,121.009431 acc=31 et=+9m23s570ms] 13769
22_00_33 Location[fused 24.791393,121.010015 acc=6 et=+11m20s563ms alt=-14.0 vel=0.0] 10698
22_02_33 Location[fused 24.791345,121.010137 acc=6 et=+13m20s560ms alt=-14.8 vel=0.5018542 bear=206.0] 10633
22_04_33 Location[fused 24.791442,121.009952 acc=6 et=+15m20s558ms alt=-13.3 vel=0.3361136 bear=96.0] 10565
22_06_33 Location[fused 24.791353,121.010007 acc=6 et=+17m20s558ms alt=-12.8 vel=0.0] 10521
22_08_33 Location[fused 24.791370,121.010002 acc=6 et=+19m20s557ms alt=-12.7 vel=0.60582805 bear=158.0] 10473
22_10_33 Location[fused 24.791302,121.010170 acc=6 et=+21m20s560ms alt=-14.5 vel=0.0] 10418
22_12_33 Location[fused 24.791225,121.010153 acc=6 et=+23m20s557ms alt=-13.9 vel=0.44472 bear=322.0] 10350
22_14_33 Location[fused 24.791227,121.010270 acc=6 et=+25m20s563ms alt=-14.5 vel=0.0] 10296
22_16_33 Location[fused 24.791247,121.010243 acc=6 et=+27m20s557ms alt=-14.6 vel=0.0] 10224
22_18_33 Location[fused 24.791145,121.010262 acc=6 et=+29m20s563ms alt=-14.1 vel=0.35258472 bear=315.0] 10169
22_20_33 Location[fused 24.791005,121.010268 acc=6 et=+31m20s560ms alt=-14.4 vel=0.0] 10101
22_22_33 Location[fused 24.791027,121.010288 acc=6 et=+33m20s560ms alt=-14.1 vel=0.050442778 bear=322.0] 10058
22_24_34 Location[fused 24.790937,121.010318 acc=6 et=+35m21s557ms alt=-14.7 vel=0.39015946 bear=357.0] 10984
22_26_33 Location[fused 24.790778,121.010417 acc=6 et=+37m20s880ms alt=-14.8 vel=0.0] 10244
22_28_34 Location[fused 24.790665,121.010370 acc=5 et=+39m21s559ms alt=-14.0 vel=0.6372261 bear=145.0] 10879
22_30_34 Location[fused 24.790723,121.010378 acc=6 et=+41m21s565ms alt=-14.3 vel=0.0] 10824
22_32_34 Location[fused 24.790865,121.010345 acc=5 et=+43m21s564ms alt=-14.0 vel=0.47457388 bear=302.0] 10758
22_34_34 Location[fused 24.790882,121.010387 acc=6 et=+45m21s337ms alt=-13.1 vel=0.73862636 bear=135.0] 10473
22_36_33 Location[fused 24.790898,121.010535 acc=6 et=+47m21s116ms alt=-13.5 vel=0.0] 10199
