lat,lon,bear,heading,magx_kalman,magy_kalman,magz_kalman,magx_lowess,magy_lowess,magz_lowess,mag,mag_kalman,mag_lowess,timestamp,intersection_points,33_dbm,25_dbm,181_dbm,200_dbm,208_dbm,label
24.789309699999997,120.99508190000002,353.2019348144531,-62.368534,-13.427387479260254,2.87429597711088,-11.307487069697908,-22.18755611116389,12.4325889791677,-20.160864779190184,37.05484509372561,17.788073974256353,32.454851464084065,16,0,-90.0,0.0,0.0,0.0,0.0,0
24.789324399999998,120.99507709999999,357.780029296875,7.673278999999999,-15.039034367916736,5.626746876778288,-10.430970486918907,-21.964410061704058,12.212503100274642,-20.3026837423442,32.086314839819174,19.147793095646513,32.30757664193574,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.789324399999998,120.99507709999999,357.780029296875,26.19428,-16.944886499889204,6.5698813517876165,-10.285824085860082,-21.74130901047357,11.992238586838976,-20.44365591603815,32.910312815286396,20.88278469447869,32.16273264239111,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.789324399999998,120.99507709999999,357.780029296875,-135.89606,-18.82559449700983,5.936347514828962,-11.471270916321892,-21.518258684727854,11.771790022303161,-20.583769275059925,35.95852528399907,22.830534080882018,32.0203381418898,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.789324399999998,120.99507709999999,357.780029296875,-112.77418999999999,-19.712430898783317,6.535078278424834,-12.145190091777947,-21.295265916284322,11.551147741182605,-20.72301797725989,35.97453954674061,24.058113442451564,31.88041465648973,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.7893428,120.99507120000001,5.57368803024292,21.016214,-20.1799841462344,7.979123356435697,-11.602786267216622,-21.072336412941652,11.330306003769335,-20.861397884906154,33.48897548865901,24.60737326173194,31.74298533143354,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.7893428,120.99507120000001,5.57368803024292,42.570053,-21.170318182942964,7.758726142755483,-11.961875956848878,-20.849475466888922,11.109263174353208,-20.99890468065705,33.383354273589724,25.52384531633825,31.608074179056903,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.7893553,120.99506720000001,2.1567556858062744,-58.262825,-21.61687818919048,6.716541135949095,-13.829024334445355,-20.626689303536356,10.888013973709068,-21.13553922734141,38.141740914646256,26.526274927322106,31.475707749736028,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.7893553,120.99506720000001,2.1567556858062744,-90.64625,-21.483705430130524,7.1990257503551875,-14.977004699081599,-20.403983260311083,10.666550371852951,-21.27130836030809,36.02568860899129,27.160379977445256,31.345915030217956,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.7893553,120.99506720000001,2.1567556858062744,56.023796,-21.520867045009226,8.11327561447193,-14.799868262208735,-20.181361414495548,10.444867858048589,-21.40621950826989,32.788449159665966,27.349754297691273,31.218725898902736,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.7893553,120.99506720000001,2.1567556858062744,10.27135,-21.814015293235354,7.6430396171189745,-16.284019895643308,-19.95882792345967,10.222964641564676,-21.540279180231988,34.459437023840074,28.274310279192722,31.09417060002229,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.789378399999997,120.9950562,355.3197021484375,-59.54101,-21.23835935238981,7.035083165121026,-18.246167326332372,-19.736387005465495,10.000835818394368,-21.67349885937275,37.59535077639255,28.870104350728145,30.972281832361315,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.789392199999998,120.9950506,353.3658752441406,-12.233478999999999,-20.728358221000352,7.660795961431763,-19.178602524947472,-19.514041431819415,9.778476614913385,-21.805893579157996,33.34990762266069,29.26040710774072,30.853094053866567,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.789392199999998,120.9950506,353.3658752441406,30.182432000000002,-19.963213695423416,7.772261069747936,-20.156239935094916,-19.291793427645892,9.555885807184703,-21.9374775519267,33.26479153098665,29.41448540271571,30.736642115823308,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.789392199999998,120.9950506,353.3658752441406,-110.83731,-18.99363706705894,6.824542405396909,-21.881395903385847,-19.069644565129163,9.333060756953266,-22.06826623284192,36.72343041917518,29.767904104234933,30.622961017134386,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.789392199999998,120.9950506,353.3658752441406,-114.474205,-17.659724820435514,6.644876783074105,-23.034893712935894,-18.84759576539979,9.109995911896421,-22.198277722034245,39.97004165872241,29.77627573357684,30.51208654738721,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.7894154,120.9950378,348.973876953125,26.899612,-16.969211716833414,7.79557864348988,-22.979887231139926,-18.625647647445188,8.88668915052902,-22.32752888207956,33.233770847738626,29.61081575764943,30.404054669155684,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.7894154,120.9950378,348.973876953125,-3.3860579,-16.085782070734297,7.816871922318264,-23.641339132638286,-18.403802033201064,8.663142149132998,-22.456033894871744,34.03042110053887,29.64403460161081,30.298901291316966,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.789428100000002,120.99503200000001,347.9521789550781,-27.224869,-14.857405995647362,7.68198908073836,-24.11463875862861,-18.18206108446107,8.439354065830742,-22.583808103454007,40.22103926394742,29.347423594162994,30.196662576867038,16,0,-90.0,-95.0,0.0,0.0,0.0,0
24.789428100000002,120.99503200000001,347.9521789550781,-58.28331,-14.745645812855592,8.775295483310899,-23.274817809834538,-17.96042732595925,8.215323704469299,-22.71086609439035,34.99995999997714,28.916379879552583,30.097374172136814,16,0,-90.0,-95.0,0.0,0.0,0.0,0
