02_19_28 Location[fused 24.791966,121.009420 acc=16 et=+2m19s197ms] 24251
22_01_12 Location[fused 24.791728,121.008680 acc=8 et=+19h44m2s482ms alt=155.0 vel=0.0] 20208
22_06_32 Location[fused 24.791728,121.008680 acc=8 et=+19h49m22s709ms alt=155.0 vel=0.0] 20213
22_11_52 Location[fused 24.791728,121.008680 acc=8 et=+19h54m42s960ms alt=155.0 vel=0.0] 20199
22_17_12 Location[fused 24.792160,121.012158 acc=5 et=+20h0m3s117ms alt=-617.5 vel=0.7257583 bear=137.0] 20123
22_22_33 Location[fused 24.792160,121.012158 acc=5 et=+20h5m23s424ms alt=-617.5 vel=0.7257583 bear=137.0] 20243
22_27_53 Location[fused 24.792160,121.012158 acc=5 et=+20h10m43s642ms alt=-617.5 vel=0.7257583 bear=137.0] 20171
22_33_13 Location[fused 24.791747,121.011577 acc=7 et=+20h16m4s113ms alt=-492.8 vel=0.0] 20430
22_38_34 Location[fused 24.791747,121.011577 acc=7 et=+20h21m24s443ms alt=-492.8 vel=0.0] 20284
22_43_54 Location[fused 24.791747,121.011577 acc=7 et=+20h26m44s656ms alt=-492.8 vel=0.0] 20139
22_49_14 Location[fused 24.791747,121.011577 acc=7 et=+20h32m5s9ms alt=-492.8 vel=0.0] 20287
22_54_34 Location[fused 24.791747,121.011577 acc=7 et=+20h37m25s276ms alt=-492.8 vel=0.0] 20228
22_59_55 Location[fused 24.791582,121.009407 acc=8 et=+20h42m46s116ms alt=3.7 vel=0.0] 20793
23_19_20 Location[fused 24.791738,121.009312 acc=9 et=+21h2m10s501ms alt=-6.4 vel=0.0 bear=0.0] 20221
23_24_40 Location[fused 24.791738,121.009312 acc=9 et=+21h7m30s825ms alt=-6.4 vel=0.0 bear=0.0] 20312
23_30_01 Location[fused 24.791938,121.009190 acc=7 et=+21h12m51s447ms alt=56.3 vel=0.0] 20577
23_35_21 Location[fused 24.791938,121.009190 acc=7 et=+21h18m11s637ms alt=56.3 vel=0.0] 20165
23_40_44 Location[fused 24.791807,121.008713 acc=5 et=+21h23m34s448ms alt=60.1 vel=0.0 bear=0.0] 22756
23_46_04 Location[fused 24.791807,121.008713 acc=5 et=+21h28m54s737ms alt=60.1 vel=0.0 bear=0.0] 20222
23_51_24 Location[fused 24.791807,121.008713 acc=5 et=+21h34m14s931ms alt=60.1 vel=0.0 bear=0.0] 20164
